Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
23,,,,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",The Divergent Series: Allegiant,,Robert Schwentke,,5.7,,2016,"Action, Adventure, Mystery",,,
24,,,,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",Miss Peregrine’s Home for Peculiar Children,,Tim Burton,,6.8,,2016,"Adventure, Drama, Family",,,
25,,,,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Ice Age: Collision Course,," Mike Thurmeier, Galen T. Chu",,5.7,,2016,"Animation, Adventure, Comedy",,,
26,,,,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",Jack Reacher: Never Go Back,,Edward Zwick,,6.1,,2016,"Action, Adventure, Crime",,,
27,,,,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Ben-Hur,, Timur Bekmambetov,,5.7,,2016,"Action, Adventure, Drama",,,
28,,,,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,The Magnificent Seven,,Antoine Fuqua,,7,,2016,"Action, Adventure, Western",,,
29,,,,The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,Now You See Me 2,,Jon M. Chu,,6.5,,2016,"Action, Adventure, Comedy",,,
30,,,,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",The Little Prince,,Mark Osborne,,7.8,,2016,"Animation, Adventure, Drama",,,
31,,,,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",The Secret Life of Pets,,"Chris Renaud, Yarrow Cheney",,6.6,,2016,"Animation, Adventure, Comedy",,,
32,,,,"Find out why the birds are so angry. When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",The Angry Birds Movie,,"Clay Kaytis, Fergal Reilly",,6.3,,2016,"Animation, Action, Adventure",,,
33,,,,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",Storks,,"Nicholas Stoller, Doug Sweetland",,6.9,,2016,"Animation, Adventure, Comedy",,,
34,,,,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,The Finest Hours,,Craig Gillespie,,6.8,,2016,"Action, Drama, History",,,
35,,,,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",Pete’s Dragon,,David Lowery,,6.8,,2016,"Adventure, Family, Fantasy",,,
36,,,,"Shan, a mermaid, is sent to assassinate Xuan, a developer who threatens the ecosystem of her race, but ends up falling in love with him instead.",Mei Ren Yu,,Stephen Chow,,6.3,,2016,"Comedy, Drama, Fantasy",,,
37,,,,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Sully,,Clint Eastwood,,7.5,,2016,"Biography, Drama",,,
38,,,,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",London Has Fallen,,Babak Najafi,,5.9,,2016,"Action, Crime, Drama",,,
39,,,,"When a travelling monk is stranded in a wasteland, The Monkey King must escort him across the land to retrieve sacred scriptures and protect him from an evil demon.",Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,,Pou-Soi Cheang,,5.9,,2016,"Action, Adventure, Fantasy",,,
40,,,,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Deadpool,,Tim Miller,,8.1,,2016,"Action, Adventure, Comedy",,,
41,,,,"In an ancient world where monsters rule the land while humans keep to their own kingdom, a baby monster, Wuba, is born to a human father and monster queen. When mortals and creatures alike set out to capture the newborn, Wuba's adventure begins. The cute baby monster Huba is the child of a human man and a monster queen, threatened by both monster-hating humans and monsters attempting to capture the new-born in an ancient world based on medieval China.",Monster Hunt,,Raman Hui,,6.2,,2016,"Animation, Action, Adventure",,,
42,,,,A young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past.,Kubo and the Two Strings,,Travis Knight,,7.9,,2016,"Animation, Adventure, Family",,,
43,,,,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",Central Intelligence,,Rawson Marshall Thurber,,6.4,,2016,"Action, Comedy, Crime",,,
44,,,,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",13 Hours: The Secret Soldiers of Benghazi,,Michael Bay,,7.3,,2016,"Action, Drama, History",,,
45,,,,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",War Dogs,,Todd Phillips,,7.1,,2016,"Comedy, Crime, Drama",,,
46,,,,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",The Nice Guys,,Shane Black,,7.4,,2016,"Action, Comedy, Crime",,,
47,,,,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",Zoolander 2,,Ben Stiller,,4.8,,2016,Comedy,,,
48,,,,"A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.",Free State of Jones,,Gary Ross,,6.9,,2016,"Action, Biography, Drama",,,
49,,,,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",Snowden,,Oliver Stone,,7.3,,2016,"Biography, Drama, Thriller",,,
50,,,,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Arrival,,Denis Villeneuve,,8.1,,2016,"Drama, Mystery, Sci-Fi",,,
51,,,,"The Infiltrator is a 2016 American crime drama film directed by Brad Furman and written by Ellen Brown Furman. The film is based on the autobiography of the same name by Robert Mazur, a U.S. Customs special agent, who in the 1980s helped bust Pablo Escobar's money-laundering organization by going undercover as a corrupt businessman.",The Infiltrator,,Brad Furman,,8,,2016,"Crime film, Drama film, Thriller, Biographical film",,,
