Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
14,,,,"12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.",Pan,, Joe Wright,,8,,2015,"Adventure, Family, Fantasy",,,
15,,,,The Revenant,The Revenant,, Alejandro G. Iñárritu,,9,,2015,"Action, Adventure, Thriller",,,
16,,,,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",Ant-Man,, Peyton Reed,,10,,2015,"Action, Adventure, Comedy",,,
17,,,,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Home,, Tim Johnson,,9,,2015,"Animation, Adventure, Comedy",,,
18,,,,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Fantastic Four,, Tim Story,,9,,2015,"Action, Adventure, Family",,,
19,,,,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",San Andreas,, Brad Peyton,,7,,2015,"Action, Adventure, Drama",,,
20,,,,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,The Divergent Series: Insurgent,, Robert Schwentke,,9,,2015,"Adventure, Sci-Fi,Thriller",,,
21,,,,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",The Martian,,Ridley Scott,,10,,2015,"Adventure, Drama, Sci-Fi",,,
22,,,,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",Point Break,, Ericson Core,,7,,2015,"Action, Crime, Sport",,,
23,,,,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",In the Heart of the Sea,, Ron Howard,,7,,2015,"Action, Adventure, Bography",,,
24,,,,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",The Peanuts Movie,,Steve Martino,,8,,2015,"Action, Adventure, Comedy",,,
25,,,,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Cinderella,, Kenneth Branagh,,6,,2015,"Drama, Family, Fantasy",,,
26,,,,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Seventh Son,, Sergei Bodrov,,8,,2015,"Action, Adventure, Fantasy",,,
27,,,,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Kingsman: The Secret Service,, Matthew Vaughn,,9,,2015,"Action, Adventure, Comedy",,,
28,,,,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",Alvin and the Chipmunks: The Road Chip,, Walt Becker,,9,,2015,"Animation, Adventure, Comedy",,,
29,,,,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Pixels,, Chris Columbus,,9,,2015,"Animation, Adventure, Comedy",,,
30,,,,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Hotel Transylvania 2,, Genndy Tartakovsky,,10,,2015,"Animation, Comedy, Family",,,
31,,,,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,The Last Witch Hunter,,Breck Eisner,,10,,2015,"Action. Adventure, Fantasy",,,
32,,,,"Top Cat has arrived to charm his way into your hearts. Ever wonder how this scheming feline got his start? Well Top Cat Begins reveals the origins of everything you know and love about this classic comedy hero. What follows is an adventure so crazy that it has to be seen to be believed. Announced sequel of animated film ""Top Cat"".","Don Gato, el inicio de la pandilla",, Andrés Couturier,,9,,2015,"Animation, Family",,,
33,,,,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",The Man From U.N.C.L.E.,, Guy Ritchie,,8,,2015,"Action, Adventure, Comedy",,,
34,,,,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Minions,," Kyle Balda, Pierre Coffin",,8,,2015,"Animation, Action, Adventure",,,
35,,,,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",The SpongeBob Movie: Sponge Out of Water,," Paul Tibbitt, Mike Mitchell",,9,,2015,"Action, Adventure, Comedy",,,
36,,,,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Blackhat,,Michael Mann,,8,,2015,"Crime, Daram, Mistery",,,
37,,,,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Ted 2,,Seth MacFarlane,,9,,2015,Comedy,,,
38,,,,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Spy!,, Paul Feig,,9,,2015,"Action, Comedy, Crime",,,
39,,,,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",Focus,," Glenn Ficarra, John Requa",,9,,2015,"Comedy, Crime, Drama",,,
40,,,,A climbing expedition on Mt. Everest is devastated by a severe snow storm.,Everest,, Baltasar Kormákur,,10,,2015,"Adventure, Biography, Drama",,,
41,,,,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",Tian jiang xiong shi,, Daniel Lee,,10,,2015,"Action, Adventure, Drama",,,
42,,,,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",The Hateful Eight,, Quentin Tarantino,,9,,2015,"Crime, Drama, Mistery",,,
43,,,,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",Maze Runner: The Scorch Trials,,, Wes Ball,8,,2015,"Action, Sci-Fi, Thriller",,,
44,,,,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",Joy,,David O. Russell,,9,,2015,Drama,,,
45,,,,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",Mortdecai,, David Koepp,,9,,2015,"Action, Comedy,Crime",,,
46,,,,"An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad.",The Ridiculous 6,, Frank Coraci,,9,,2015,"Comedy, Western",,,
47,,,,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",Goosebumps,,Rob Letterman,,8,,2015,"Adventure, Comedy, Family",,,
48,,,,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",Paddington,, Paul King,,7,,2015,"Comedy, Family, Fantasy",,,
49,,,,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",Crimson Peak,, Guillermo del Toro,,9,,2015,"Drama, Fantasy, Horror",,,
50,,,,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Black Mass,, Scott Cooper,,8,,2015,"Biography, Crime, Drama",,,
51,,,,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Daddy’s Home,, Sean Anders,,7,,2015,"Comedy, Family",,,
52,,,,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",Run All Night,, Jaume Collet-Serra,,7,,2015,"Action, Crime, Drama",,,
53,,,,A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,Child 44,, Daniel Espinosa,,7,,2015,"Crime, Drama, Thriller",,,
54,,,,A '40s period piece which revolves around an American expat who returns to Shanghai in the months before Pearl Harbor due to the death of his friend.,Shanghai,, Mikael Håfström,,9,,2015,"Drama, Mystery, Romance",,,
55,,,,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",Chappie,, Neill Blomkamp,,8,,2015,"Action, Crime, Drama",,,
